object,field,label,type,referenceTo,nullable,formula,origin
copado__Project__c,Id,Record ID,id,,False,False,Salesforce
copado__Project__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Project__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Project__c,Name,Project Name,string,,True,False,Salesforce
copado__Project__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Project__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Project__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Project__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Project__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Project__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Project__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Project__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Project__c,copado__Deployment_Flow__c,Pipeline,Lookup,copado__Deployment_Flow__c,True,False,Socle Copado
copado__Project__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Project__c,copado__End_Date__c,End Date,date,,True,False,Socle Copado
copado__Project__c,copado__Exclude_Tabs_from_Promotion_Page__c,Exclude Tabs from Promotion Page,multipicklist,,True,False,Socle Copado
copado__Project__c,copado__Index_Metadata__c,Index Metadata,boolean,,False,False,Socle Copado
copado__Project__c,copado__Start_Date__c,Start Date,date,,True,False,Socle Copado
copado__Project__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Project__c,copado__API_Name__c,API Name,string,,True,False,Socle Copado
copado__Release__c,Id,Record ID,id,,False,False,Salesforce
copado__Release__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Release__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Release__c,Name,Release Name,string,,True,False,Salesforce
copado__Release__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Release__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Release__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Release__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Release__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Release__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Release__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Release__c,copado__Base_Branch__c,Base Branch,string,,True,False,Socle Copado
copado__Release__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Release__c,copado__Planned_Date__c,Planned Date,date,,True,False,Socle Copado
copado__Release__c,copado__Project__c,Project,Lookup,copado__Project__c,True,False,Socle Copado
copado__Release__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Release__c,copado__Version__c,Version,string,,True,False,Socle Copado
copado__Release__c,copado__Completion_Date__c,Completion Date,datetime,,True,False,Socle Copado
copado__Release__c,copado__Parent_Release__c,Parent Release,Lookup,copado__Release__c,True,False,Socle Copado
copado__Release__c,copado__Status_Notes__c,Status Notes,textarea,,True,False,Socle Copado
copado__Release__c,copado__Testing_Completed__c,Testing Completed,datetime,,True,False,Socle Copado
copado__Release__c,copado__Type__c,Type,picklist,,True,False,Socle Copado
copado__Release__c,copado__Artifact_User_Story__c,Artifact User Story,Lookup,copado__User_Story__c,True,False,Socle Copado
copado__Release__c,copado__Base_Branch_Origin__c,Base Branch Origin,string,,True,False,Socle Copado
copado__Release__c,copado__Environment__c,Environment,Lookup,copado__Environment__c,True,False,Socle Copado
copado__User_Story__c,Id,Record ID,id,,False,False,Salesforce
copado__User_Story__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__User_Story__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__User_Story__c,Name,User Story Reference,string,,False,False,Salesforce
copado__User_Story__c,RecordTypeId,Record Type ID,Lookup,RecordType,True,False,Salesforce
copado__User_Story__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__User_Story__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__User_Story__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__User_Story__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__User_Story__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__User_Story__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__User_Story__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__User_Story__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__User_Story__c,copado__Acceptance_Criteria_Status__c,Acceptance Criteria Status,picklist,,True,False,Socle Copado
copado__User_Story__c,copado__Acceptance_Criteria__c,Acceptance Criteria,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__Apex_Code_Coverage__c,Apex Code Coverage,percent,,True,False,Socle Copado
copado__User_Story__c,copado__Apex_Tests_Passed__c,Apex Tests Passed,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Backburner_Rank__c,Backburner Rank,double,,True,False,Socle Copado
copado__User_Story__c,copado__Backlog_Rank__c,Backlog Rank,double,,True,False,Socle Copado
copado__User_Story__c,copado__Base_Branch__c,Base Branch,string,,True,False,Socle Copado
copado__User_Story__c,copado__Business_Analyst__c,Business Analyst,Lookup,User,True,False,Socle Copado
copado__User_Story__c,copado__Cancellation_Reason__c,Cancellation Reason,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__Classes_Without_Coverage__c,Classes Without Coverage,double,,True,False,Socle Copado
copado__User_Story__c,copado__Close_Date__c,Close Date,date,,True,False,Socle Copado
copado__User_Story__c,copado__Compliance_Criteria__c,Compliance Criteria,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__Compliance_Status__c,Compliance Status,picklist,,True,False,Socle Copado
copado__User_Story__c,copado__Compliance__c,Compliance,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Data_Privacy__c,Data Privacy,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Developer__c,Developer,Lookup,User,True,False,Socle Copado
copado__User_Story__c,copado__Documentation_Complete__c,Documentation Complete,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Environment_Type__c,Environment Type,string,,True,True,Socle Copado
copado__User_Story__c,copado__Environment__c,Environment,Lookup,copado__Environment__c,True,False,Socle Copado
copado__User_Story__c,copado__Epic__c,Epic,Lookup,copado__Epic__c,True,False,Socle Copado
copado__User_Story__c,copado__Exclude_From_CBM__c,Exclude from Pipelines,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Failing_Methods__c,Failing Methods,double,,True,False,Socle Copado
copado__User_Story__c,copado__Feature__c,Feature,Lookup,copado__Copado_Feature__c,True,False,Socle Copado
copado__User_Story__c,copado__Functional_Specifications__c,Functional Specifications,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__Git_Merge_Status__c,Git Merge Status,picklist,,True,False,Socle Copado
copado__User_Story__c,copado__Git_Repository__c,Git Repository,string,,True,True,Socle Copado
copado__User_Story__c,copado__Has_Apex_Code__c,Has Apex Code,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Is_Bundle__c,Is Bundle,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Last_Compliance_Scan_Date__c,Last Compliance Scan Date,datetime,,True,False,Socle Copado
copado__User_Story__c,copado__Last_Promotion_Date__c,Last Promotion Date,datetime,,True,False,Socle Copado
copado__User_Story__c,copado__Last_Validation_Deployment_Status__c,Last Validation Status,string,,True,True,Socle Copado
copado__User_Story__c,copado__Last_Validation_Deployment__c,Last Validation Deployment,Lookup,copado__Deployment__c,True,False,Socle Copado
copado__User_Story__c,copado__Last_Validation_Promotion__c,Last Validation Promotion,Lookup,copado__Promotion__c,True,False,Socle Copado
copado__User_Story__c,copado__Latest_Commit_Date__c,Latest Commit Date,datetime,,True,False,Socle Copado
copado__User_Story__c,copado__Legal__c,Legal,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Manual_Step_Required__c,Manual Step Required,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Manual_Tests_Passed__c,Manual Tests Passed,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Metadata_Types_in_Selection__c,Metadata Types in Selection,multipicklist,,True,False,Socle Copado
copado__User_Story__c,copado__Minimum_Apex_Code_Coverage__c,Minimum Apex Code Coverage,percent,,True,False,Socle Copado
copado__User_Story__c,copado__Order__c,Order,double,,True,False,Socle Copado
copado__User_Story__c,copado__Org_Credential__c,Credential,Lookup,copado__Org__c,True,False,Socle Copado
copado__User_Story__c,copado__Parent_Epic_Title__c,Parent Epic Title,string,,True,True,Socle Copado
copado__User_Story__c,copado__Platform__c,Platform,string,,True,True,Socle Copado
copado__User_Story__c,copado__Priority__c,Priority,double,,True,False,Socle Copado
copado__User_Story__c,copado__Progress_Status__c,Progress Status,string,,True,True,Socle Copado
copado__User_Story__c,copado__Progress__c,Progress,percent,,True,False,Socle Copado
copado__User_Story__c,copado__Project__c,Project,Lookup,copado__Project__c,True,False,Socle Copado
copado__User_Story__c,copado__Promote_Change__c,Ready to Promote,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Promote_and_Deploy__c,Promote and Deploy,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Promote_as_Single_Step__c,Promote as Single Step,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Promotion_Test_Level__c,Promotion Test Level,picklist,,True,False,Socle Copado
copado__User_Story__c,copado__Pull_Requests_Approved__c,Pull Requests Approved,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__QR_Code__c,QR Code,string,,True,True,Socle Copado
copado__User_Story__c,copado__Release__c,Release,Lookup,copado__Release__c,True,False,Socle Copado
copado__User_Story__c,copado__Sprint__c,Sprint,Lookup,copado__Sprint__c,True,False,Socle Copado
copado__User_Story__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__User_Story__c,copado__Stop_Indexing_Metadata__c,Exclude from Overlap Awareness,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__Story_Points_Other__c,Planned Points,double,,True,False,Socle Copado
copado__User_Story__c,copado__Story_Points_SFDC__c,Actual Points,double,,True,False,Socle Copado
copado__User_Story__c,copado__Team__c,Team,Lookup,copado__Team__c,True,False,Socle Copado
copado__User_Story__c,copado__Technical_Specifications__c,Technical Specifications,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__Test_Script_Owner__c,Test Script Owner,Lookup,User,True,False,Socle Copado
copado__User_Story__c,copado__Theme__c,Theme,Lookup,copado__Theme__c,True,False,Socle Copado
copado__User_Story__c,copado__Total_Story_Points__c,Total Planned Points,double,,True,True,Socle Copado
copado__User_Story__c,copado__Triggers_Without_Coverage__c,Triggers Without Coverage,double,,True,False,Socle Copado
copado__User_Story__c,copado__US_Feature__c,Feature,Lookup,copado__Application_Feature__c,True,False,Socle Copado
copado__User_Story__c,copado__User_Story_Title__c,Title,string,,True,False,Socle Copado
copado__User_Story__c,copado__Validate_Only__c,Validate Only,boolean,,False,False,Socle Copado
copado__User_Story__c,copado__View_in_Git__c,View in Git,string,,True,True,Socle Copado
copado__User_Story__c,copado__userStory_Role__c,As a...,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__userStory_need__c,Want to...,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__userStory_reason__c,So that...,textarea,,True,False,Socle Copado
copado__User_Story__c,copado__Backend_Bypass__c,Backend Bypass,boolean,,False,False,Socle Copado
copado__User_Story__c,copadoQuality__Functional_Review__c,Functional Review,Lookup,copadoQuality__Functional_Review__c,True,False,Copado Quality
copado__User_Story__c,cmcSf__Apex_Test_Level__c,Apex Test Level,picklist,,True,False,Extension Source Format
copado__User_Story__c,copado__Actual_Points_Other__c,Actual Points Other,double,,True,False,Socle Copado
copado__User_Story__c,copado__Planned_Points_Other__c,Planned Points Other,double,,True,False,Socle Copado
copado__User_Story__c,copado__Total_Actual_Points__c,Total Actual Points,double,,True,True,Socle Copado
copado__User_Story__c,cmcSf__Migration_Date__c,Migration Date,datetime,,True,False,Extension Source Format
copado__User_Story__c,copado__Pending_Tests__c,Pending Tests,double,,True,False,Socle Copado
copado__Epic__c,Id,Record ID,id,,False,False,Salesforce
copado__Epic__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Epic__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Epic__c,Name,Epic Ref,string,,False,False,Salesforce
copado__Epic__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Epic__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Epic__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Epic__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Epic__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Epic__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Epic__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Epic__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Epic__c,copado__Application__c,Application,Lookup,copado__Application__c,True,False,Socle Copado
copado__Epic__c,copado__Cancelled_Reason__c,Cancelled Reason,string,,True,False,Socle Copado
copado__Epic__c,copado__Epic_Details__c,Epic Details,textarea,,True,False,Socle Copado
copado__Epic__c,copado__Epic_Title__c,Epic Title,string,,True,False,Socle Copado
copado__Epic__c,copado__Release__c,Release,Lookup,copado__Release__c,True,False,Socle Copado
copado__Epic__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Epic__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Epic__c,copado__Technical_Assumptions__c,Technical Assumptions,textarea,,True,False,Socle Copado
copado__Sprint__c,Id,Record ID,id,,False,False,Salesforce
copado__Sprint__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Sprint__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Sprint__c,Name,Sprint Name,string,,True,False,Salesforce
copado__Sprint__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Sprint__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Sprint__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Sprint__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Sprint__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Sprint__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Sprint__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Sprint__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Sprint__c,copado__ActualVelocity__c,Actual Velocity,double,,True,False,Socle Copado
copado__Sprint__c,copado__Days_in_sprint__c,Days in sprint,double,,True,False,Socle Copado
copado__Sprint__c,copado__End_Date__c,End Date,date,,True,False,Socle Copado
copado__Sprint__c,copado__Full_time_resources_in_sprint__c,Full time resources in sprint,double,,True,False,Socle Copado
copado__Sprint__c,copado__InitialPlannedVelocity__c,Initial Planned Velocity,double,,True,False,Socle Copado
copado__Sprint__c,copado__Objective__c,Sprint Goal,textarea,,True,False,Socle Copado
copado__Sprint__c,copado__PlannedVelocity__c,Planned Velocity,double,,True,False,Socle Copado
copado__Sprint__c,copado__Project__c,Project,Lookup,copado__Project__c,True,False,Socle Copado
copado__Sprint__c,copado__Release__c,Release,Lookup,copado__Release__c,True,False,Socle Copado
copado__Sprint__c,copado__Start_Date__c,Start Date,date,,True,False,Socle Copado
copado__Sprint__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Sprint__c,copado__Story_points__c,Total Capacity (Points),double,,True,False,Socle Copado
copado__Sprint__c,copado__Team__c,Team,Lookup,copado__Team__c,True,False,Socle Copado
copado__Sprint__c,copado__Working_Days_Left__c,Working Days Left,double,,True,True,Socle Copado
copado__Sprint__c,copado__Working_days_in_sprint__c,Working days in sprint,double,,True,False,Socle Copado
copado__Sprint__c,copado__Actual_Velocity__c,Actual Velocity,double,,True,False,Socle Copado
copado__Sprint__c,copado__Planned_Velocity__c,Planned Velocity,double,,True,False,Socle Copado
copado__Team__c,Id,Record ID,id,,False,False,Salesforce
copado__Team__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Team__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Team__c,Name,Team Name,string,,True,False,Salesforce
copado__Team__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Team__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Team__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Team__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Team__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Team__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Team__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Team__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Team__c,copado__Active__c,Active,boolean,,False,False,Socle Copado
copado__Team__c,copado__Department__c,Department,picklist,,True,False,Socle Copado
copado__Team__c,copado__Vision__c,Vision,textarea,,True,False,Socle Copado
copado__Team__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Team__c,copado__Sprint_Wall_FieldSet_Name__c,Sprint Wall FieldSet Name,string,,True,False,Socle Copado
copado__User_Story_Task__c,Id,Record ID,id,,False,False,Salesforce
copado__User_Story_Task__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__User_Story_Task__c,Name,User Story Task Name,string,,False,False,Salesforce
copado__User_Story_Task__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__User_Story_Task__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__User_Story_Task__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__User_Story_Task__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__User_Story_Task__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__User_Story_Task__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__User_Story_Task__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__User_Story_Task__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__User_Story_Task__c,copado__User_Story__c,User Story,Master-Detail,copado__User_Story__c,False,False,Socle Copado
copado__User_Story_Task__c,copado__Comments__c,Comments,textarea,,True,False,Socle Copado
copado__User_Story_Task__c,copado__Hours_Remaining__c,Hours Remaining,double,,True,False,Socle Copado
copado__User_Story_Task__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__User_Story_Task__c,copado__Subject__c,Subject,string,,True,False,Socle Copado
copado__User_Story_Commit__c,Id,Record ID,id,,False,False,Salesforce
copado__User_Story_Commit__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__User_Story_Commit__c,Name,US Commit,string,,True,False,Salesforce
copado__User_Story_Commit__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__User_Story_Commit__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__User_Story_Commit__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__User_Story_Commit__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__User_Story_Commit__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__User_Story_Commit__c,copado__User_Story__c,User Story,Master-Detail,copado__User_Story__c,False,False,Socle Copado
copado__User_Story_Commit__c,copado__Snapshot_Commit__c,Snapshot Commit,Master-Detail,copado__Git_Org_Commit__c,False,False,Socle Copado
copado__User_Story_Commit__c,copado__CommitMessage__c,Commit Message,string,,True,True,Socle Copado
copado__User_Story_Commit__c,copado__External_Id__c,External Id,string,,True,False,Socle Copado
copado__User_Story_Commit__c,copado__LastJobExecutionId__c,Last Job Execution ID,string,,True,False,Socle Copado
copado__User_Story_Commit__c,copado__Status__c,Status,string,,True,True,Socle Copado
copado__User_Story_Commit__c,copado__View_in_Git__c,View in Git,string,,True,True,Socle Copado
copado__User_Story_Commit__c,copado__Backend_Bypass__c,Backend Bypass,boolean,,False,False,Socle Copado
copado__User_Story_Metadata__c,Id,Record ID,id,,False,False,Salesforce
copado__User_Story_Metadata__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__User_Story_Metadata__c,Name,User Story Metadata Name,string,,True,False,Salesforce
copado__User_Story_Metadata__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__User_Story_Metadata__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__User_Story_Metadata__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__User_Story_Metadata__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__User_Story_Metadata__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__User_Story_Metadata__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__User_Story_Metadata__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__User_Story_Metadata__c,copado__User_Story__c,User Story,Master-Detail,copado__User_Story__c,False,False,Socle Copado
copado__User_Story_Metadata__c,copado__Action__c,Action,string,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__Category__c,Category,string,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__JsonInformation__c,Json Information,string,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__Last_Commit_Date__c,Last Commit Date,datetime,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__Metadata_API_Name__c,File Name,string,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__ModuleDirectory__c,Directory,string,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__Status_Icon__c,Status Icon,string,,True,True,Socle Copado
copado__User_Story_Metadata__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__Type__c,Type,string,,True,False,Socle Copado
copado__User_Story_Metadata__c,copado__Unique_ID__c,Unique ID,string,,True,False,Socle Copado
copado__Git_Org_Commit__c,Id,Record ID,id,,False,False,Salesforce
copado__Git_Org_Commit__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Git_Org_Commit__c,Name,Commit Name,string,,False,False,Salesforce
copado__Git_Org_Commit__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Git_Org_Commit__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Git_Org_Commit__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Git_Org_Commit__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Git_Org_Commit__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Git_Org_Commit__c,copado__Org__c,Credential,Master-Detail,copado__Org__c,False,False,Socle Copado
copado__Git_Org_Commit__c,copado__Changes__c,Changes,textarea,,True,False,Socle Copado
copado__Git_Org_Commit__c,copado__Commit_Date__c,Commit Date,datetime,,True,False,Socle Copado
copado__Git_Org_Commit__c,copado__Commit_Id__c,Commit Id,string,,True,False,Socle Copado
copado__Git_Org_Commit__c,copado__Commit_Message__c,Commit Message,textarea,,True,False,Socle Copado
copado__Git_Org_Commit__c,copado__Git_Backup__c,Git Snapshot,Lookup,copado__Git_Backup__c,True,False,Socle Copado
copado__Git_Org_Commit__c,copado__Git_Operation__c,Git Operation,picklist,,True,False,Socle Copado
copado__Git_Org_Commit__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Git_Org_Commit__c,copado__View_in_Git__c,View in Git,string,,True,True,Socle Copado
copado__Git_Org_Commit__c,copado__Backend_Bypass__c,Backend Bypass,boolean,,False,False,Socle Copado
copado__Git_Backup__c,Id,Record ID,id,,False,False,Salesforce
copado__Git_Backup__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Git_Backup__c,Name,Git Snapshot Name,string,,True,False,Salesforce
copado__Git_Backup__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Git_Backup__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Git_Backup__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Git_Backup__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Git_Backup__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Git_Backup__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Git_Backup__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Git_Backup__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Git_Backup__c,copado__Git_Repository__c,Git Repository,Master-Detail,copado__Git_Repository__c,False,False,Socle Copado
copado__Git_Backup__c,copado__Org__c,Credential,Master-Detail,copado__Org__c,False,False,Socle Copado
copado__Git_Backup__c,copado__Branch__c,Branch,string,,True,False,Socle Copado
copado__Git_Backup__c,copado__Compliance_Status__c,Compliance Status,string,,True,False,Socle Copado
copado__Git_Backup__c,copado__Frequency__c,Frequency,picklist,,True,False,Socle Copado
copado__Git_Backup__c,copado__Git_Snapshot_Permissions__c,Git Snapshot Permissions,picklist,,True,False,Socle Copado
copado__Git_Backup__c,copado__Last_Backup__c,Last Snapshot,datetime,,True,False,Socle Copado
copado__Git_Backup__c,copado__Last_Compliance_Scan_Date__c,Last Compliance Scan Date,datetime,,True,False,Socle Copado
copado__Git_Backup__c,copado__Metadata_Types__c,Metadata Types,textarea,,True,False,Socle Copado
copado__Git_Backup__c,copado__View_in_Git__c,View in Git,string,,True,True,Socle Copado
copado__Git_Backup__c,copado__Cron_Expression__c,Cron Expression,string,,True,False,Socle Copado
copado__Git_Backup__c,copado__External_Id__c,External Id,string,,True,False,Socle Copado
copado__Git_Backup__c,copado__Other_Information__c,Other Information,textarea,,True,False,Socle Copado
copado__Git_Backup__c,copado__Pipeline__c,Pipeline,Lookup,copado__Deployment_Flow__c,True,False,Socle Copado
copado__Git_Backup__c,copado__Scope__c,Scope,textarea,,True,False,Socle Copado
copado__Git_Backup__c,copado__Snapshot_Frequency__c,Frequency,picklist,,True,False,Socle Copado
copado__Git_Backup__c,copado__Scheduled_Commit_Message__c,Commit Message,textarea,,True,False,Socle Copado
copado__Git_Backup__c,copado__Apex_Job_ID__c,Apex Job ID,string,,True,False,Socle Copado
copado__Git_Repository__c,Id,Record ID,id,,False,False,Salesforce
copado__Git_Repository__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Git_Repository__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Git_Repository__c,Name,Git Repository Name,string,,True,False,Salesforce
copado__Git_Repository__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Git_Repository__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Git_Repository__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Git_Repository__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Git_Repository__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Git_Repository__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Git_Repository__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Git_Repository__c,copado__Branch_Base_URL__c,Branch Base URL,string,,True,False,Socle Copado
copado__Git_Repository__c,copado__Commit_Base_URL__c,Commit Base URL,string,,True,False,Socle Copado
copado__Git_Repository__c,copado__Git_Provider__c,Git Provider,picklist,,True,False,Socle Copado
