child,field,parent,type,nullable,parentCardinality,childCardinality,relationshipName,childRelationshipName,cascadeDelete,restrictedDelete
copado__JobExecution__c,copado__Snapshot__c,copado__Git_Backup__c,Lookup,True,0..1,0..N,copado__Snapshot__r,copado__Job_Executions__r,False,False
copado__JobExecution__c,copado__Source__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Source__r,copado__Job_Executions__r,False,False
copado__JobExecution__c,copado__Template__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__Template__r,copado__JobExecutions__r,False,False
copado__JobExecution__c,copado__UserStoryCommit__c,copado__User_Story_Commit__c,Lookup,True,0..1,0..N,copado__UserStoryCommit__r,copado__JobExecutions__r,False,False
copado__JobExecution__c,copado__Job_Step__c,copado__JobStep__c,Lookup,True,0..1,0..N,copado__Job_Step__r,copado__Job_Executions__r,False,False
copado__JobStep__c,copado__JobExecution__c,copado__JobExecution__c,Lookup,True,0..1,0..N,copado__JobExecution__r,copado__JobSteps__r,False,True
copado__JobStep__c,copado__JobTemplate__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__JobTemplate__r,copado__JobSteps__r,False,True
copado__JobStep__c,copado__Result__c,copado__Result__c,Lookup,True,0..1,0..N,copado__Result__r,copado__JobSteps__r,False,False
copado__JobStep__c,copado__UserStory__c,copado__User_Story__c,Lookup,True,0..1,0..N,copado__UserStory__r,copado__JobSteps__r,False,False
copado__JobStep__c,copado__Quality_Gate_Rule_Condition__c,copado__Quality_Gate_Rule_Condition__c,Lookup,True,0..1,0..N,copado__Quality_Gate_Rule_Condition__r,copado__Job_Steps__r,False,False
copado__JobStep__c,copado__Quality_Gate_Rule__c,copado__Quality_Gate_Rule__c,Lookup,True,0..1,0..N,copado__Quality_Gate_Rule__r,copado__Job_Steps__r,False,False
copado__Result__c,copado__Deployment__c,copado__Deployment__c,Lookup,True,0..1,0..N,copado__Deployment__r,copado__Results__r,False,False
copado__Result__c,copado__Function__c,copado__Function__c,Lookup,True,0..1,0..N,copado__Function__r,copado__Results__r,False,False
copado__Result__c,copado__JobStep__c,copado__JobStep__c,Lookup,True,0..1,0..N,copado__JobStep__r,copado__Results__r,False,False
copado__Result__c,copado__Promotion__c,copado__Promotion__c,Lookup,True,0..1,0..N,copado__Promotion__r,copado__Results__r,False,False
copado__Result__c,copado__Test__c,copado__Test__c,Lookup,True,0..1,0..N,copado__Test__r,copado__Results__r,False,False
copado__Result__c,copado__User_Story__c,copado__User_Story__c,Lookup,True,0..1,0..N,copado__User_Story__r,copado__Result__r,False,False
copado__Quality_Gate_Rule_Condition__c,copado__Quality_Gate_Rule__c,copado__Quality_Gate_Rule__c,Master-Detail,False,1,0..N,copado__Quality_Gate_Rule__r,copado__Quality_Gate_Rule_Conditions__r,True,False
copado__Quality_Gate_Rule_Condition__c,copado__Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Environment__r,copado__Quality_Gate_Rule_Conditions__r,False,False
copado__Quality_Gate_Rule_Condition__c,copado__Pipeline__c,copado__Deployment_Flow__c,Lookup,True,0..1,0..N,copado__Pipeline__r,copado__Quality_Gate_Rule_Conditions__r,False,False
copado__Quality_Gate_Rule_Condition__c,copado__Extension_Configuration__c,copado__ExtensionConfiguration__c,Lookup,False,1,0..N,copado__Extension_Configuration__r,copado__Quality_Gate_Rule_Conditions__r,False,True
copado__Quality_Gate_Rule_Condition__c,copado__Stage__c,copado__Stage__c,Lookup,True,0..1,0..N,copado__Stage__r,copado__Quality_Gate_Rule_Conditions__r,False,False
copado__Test__c,copado__User_Story__c,copado__User_Story__c,Lookup,True,0..1,0..N,copado__User_Story__r,copado__Tests__r,False,True
copado__Test__c,copado__Integration__c,copado__ExtensionConfiguration__c,Lookup,True,0..1,0..N,copado__Integration__r,copado__Tests__r,False,False
copado__Test__c,copado__ExtensionConfiguration__c,copado__ExtensionConfiguration__c,Lookup,True,0..1,0..N,copado__ExtensionConfiguration__r,copado__ChildTests__r,False,False
copado__Test__c,copado__LatestJobExecution__c,copado__JobExecution__c,Lookup,True,0..1,0..N,copado__LatestJobExecution__r,copado__Tests__r,False,False
copado__Test__c,copado__Promotion__c,copado__Promotion__c,Lookup,True,0..1,0..N,copado__Promotion__r,copado__Tests__r,False,True
copado__ExtensionConfiguration__c,copadoQuality__Latest_Job_Execution__c,copado__JobExecution__c,Lookup,True,0..1,0..N,copadoQuality__Latest_Job_Execution__r,copadoQuality__Extension_Configurations__r,False,False
copado__Automation_Rule__c,copado__Pipeline__c,copado__Deployment_Flow__c,Master-Detail,False,1,0..N,copado__Pipeline__r,copado__Automation_Rules__r,True,False
copado__Automation_Rule__c,copado__Quality_Gate_Rule_Condition__c,copado__Quality_Gate_Rule_Condition__c,Lookup,True,0..1,0..N,copado__Quality_Gate_Rule_Condition__r,copado__Automation_Rules__r,False,False
copado__Artifact__c,copado__Artifact_Repository__c,copado__Git_Repository__c,Lookup,True,0..1,0..N,copado__Artifact_Repository__r,copado__Artifacts__r,False,True
copado__Artifact__c,copado__Artifact_Version__c,copado__Artifact_Version__c,Lookup,True,0..1,0..N,copado__Artifact_Version__r,copado__Artifacts__r,False,False
